name,price,expansion,finish,rarity,art_link
Abundance,1.57,Alpha,Standard,Elite,alp-abundance-b-s
Abundance Foil,88.29,Alpha,Foil,Elite,alp-abundance-b-f
Accursed Albatross,0.39,Alpha,Standard,Exceptional,alp-accursed_albatross-b-s
Accursed Albatross Foil,16.0,Alpha,Foil,Exceptional,alp-accursed_albatross-b-f
Adept Illusionist,1.56,Alpha,Standard,Elite,alp-adept_illusionist-b-s
Adept Illusionist Foil,43.99,Alpha,Foil,Elite,alp-adept_illusionist-b-f
Albespine Pikemen,0.4,Alpha,Standard,Exceptional,alp-albespine_pikemen-b-s
Albespine Pikemen Foil,16.13,Alpha,Foil,Exceptional,alp-albespine_pikemen-b-f
All terrain Vestments,0.87,Alpha,Standard,Elite,alp-all_terrain_vestments-b-s
All terrain Vestments Foil,47.22,Alpha,Foil,Elite,alp-all_terrain_vestments-b-f
Alpha Booster Box,997.15,Alpha,Standard,,
Alpha Booster Box Case,5814.5,Alpha,Standard,,
Alpha Booster Pack,38.88,Alpha,Standard,,
Alvalinne Dryads,0.15,Alpha,Standard,Ordinary,alp-alvalinne_dryads-b-s
Alvalinne Dryads Foil,7.09,Alpha,Foil,Ordinary,alp-alvalinne_dryads-b-f
Amazon Warriors,0.22,Alpha,Standard,Ordinary,alp-amazon_warriors-b-s
Amazon Warriors Foil,9.06,Alpha,Foil,Ordinary,alp-amazon_warriors-b-f
Amethyst Core,76.27,Alpha,Standard,Unique,alp-amethyst_core-b-s
Ancient Dragon,2.0,Alpha,Standard,Elite,alp-ancient_dragon-b-s
Ancient Dragon Foil,37.99,Alpha,Foil,Elite,alp-ancient_dragon-b-f
Angels Egg,3.44,Alpha,Standard,Elite,alp-angels_egg-b-s
Angels Egg Foil,50.0,Alpha,Foil,Elite,alp-angels_egg-b-f
Anui Undine,0.36,Alpha,Standard,Exceptional,alp-anui_undine-b-s
Anui Undine Foil,19.99,Alpha,Foil,Exceptional,alp-anui_undine-b-f
Apprentice Wizard,0.28,Alpha,Standard,Ordinary,alp-apprentice_wizard-b-s
Apprentice Wizard Foil,22.0,Alpha,Foil,Ordinary,alp-apprentice_wizard-b-f
Aquamarine Core,87.35,Alpha,Standard,Unique,alp-aquamarine_core-b-s
Aquamarine Core Foil,1180.0,Alpha,Foil,Unique,alp-aquamarine_core-b-f
Aqueduct,2.71,Alpha,Standard,Exceptional,alp-aqueduct-b-s
Aramos Mercenaries,0.17,Alpha,Standard,Ordinary,alp-aramos_mercenaries-b-s
Aramos Mercenaries Foil,13.5,Alpha,Foil,Ordinary,alp-aramos_mercenaries-b-f
Arid Desert,0.24,Alpha,Standard,Ordinary,alp-arid_desert-b-s
Arid Desert Foil,10.0,Alpha,Foil,Ordinary,alp-arid_desert-b-f
Askelon Phoenix,1.31,Alpha,Standard,Elite,alp-askelon_phoenix-b-s
Assorted Animals,1.75,Alpha,Standard,Elite,alp-assorted_animals-b-s
Assorted Animals Foil,9.0,Alpha,Foil,Elite,alp-assorted_animals-b-f
Astral Alcazar,1.69,Alpha,Standard,Elite,alp-astral_alcazar-b-s
Atlantean Fate,29.53,Alpha,Standard,Unique,alp-atlantean_fate-b-s
Atlantean Fate Foil,289.49,Alpha,Foil,Unique,alp-atlantean_fate-b-f
Atlas Wanderers,1.71,Alpha,Standard,Elite,alp-atlas_wanderers-b-s
Atlas Wanderers Foil,74.95,Alpha,Foil,Elite,alp-atlas_wanderers-b-f
Autumn River,0.27,Alpha,Standard,Ordinary,alp-autumn_river-b-s
Autumn River Foil,13.99,Alpha,Foil,Ordinary,alp-autumn_river-b-f
Autumn Unicorn,0.51,Alpha,Standard,Exceptional,alp-autumn_unicorn-b-s
Autumn Unicorn Foil,55.0,Alpha,Foil,Exceptional,alp-autumn_unicorn-b-f
Avatar of Air Foil,1299.99,Alpha,Foil,Elite,alp-avatar_of_air-b-f
Avatar of Air Preconstructed Deck,243.91,Alpha,Standard,Elite,
Avatar of Earth Preconstructed Deck,160.08,Alpha,Standard,Elite,
Avatar of Fire Foil,699.99,Alpha,Foil,Elite,alp-avatar_of_fire-b-f
