name,price,expansion,finish,rarity,art_link
Abundance,1.57,Alpha,Standard,Elite,https://www.tcgplayer.com/product/521499/sorcery-contested-realm-alpha-abundance
Abundance Foil,88.29,Alpha,Foil,Elite,https://www.tcgplayer.com/product/521501/sorcery-contested-realm-alpha-abundance-foil
Accursed Albatross,0.39,Alpha,Standard,Exceptional,https://www.tcgplayer.com/product/521503/sorcery-contested-realm-alpha-accursed-albatross
Accursed Albatross Foil,16.0,Alpha,Foil,Exceptional,https://www.tcgplayer.com/product/521507/sorcery-contested-realm-alpha-accursed-albatross-foil
Adept Illusionist,1.82,Alpha,Standard,Elite,https://www.tcgplayer.com/product/521514/sorcery-contested-realm-alpha-adept-illusionist
Adept Illusionist Foil,43.99,Alpha,Foil,Elite,https://www.tcgplayer.com/product/521516/sorcery-contested-realm-alpha-adept-illusionist-foil
Albespine Pikemen,0.44,Alpha,Standard,Exceptional,https://www.tcgplayer.com/product/521520/sorcery-contested-realm-alpha-albespine-pikemen
Albespine Pikemen Foil,16.13,Alpha,Foil,Exceptional,https://www.tcgplayer.com/product/521522/sorcery-contested-realm-alpha-albespine-pikemen-foil
All terrain Vestments,0.87,Alpha,Standard,Elite,https://www.tcgplayer.com/product/521523/sorcery-contested-realm-alpha-all-terrain-vestments
All terrain Vestments Foil,47.22,Alpha,Foil,Elite,https://www.tcgplayer.com/product/521529/sorcery-contested-realm-alpha-all-terrain-vestments-foil
Alpha Booster Box,996.31,Alpha,Standard,,https://www.tcgplayer.com/product/521581/sorcery-contested-realm-alpha-alpha-booster-box
Alpha Booster Box Case,5797.6,Alpha,Standard,,https://www.tcgplayer.com/product/521582/sorcery-contested-realm-alpha-alpha-booster-box-case
Alpha Booster Pack,38.84,Alpha,Standard,,https://www.tcgplayer.com/product/521583/sorcery-contested-realm-alpha-alpha-booster-pack
Alvalinne Dryads,0.15,Alpha,Standard,Ordinary,https://www.tcgplayer.com/product/521534/sorcery-contested-realm-alpha-alvalinne-dryads
Alvalinne Dryads Foil,7.09,Alpha,Foil,Ordinary,https://www.tcgplayer.com/product/521535/sorcery-contested-realm-alpha-alvalinne-dryads-foil
Amazon Warriors,0.21,Alpha,Standard,Ordinary,https://www.tcgplayer.com/product/521544/sorcery-contested-realm-alpha-amazon-warriors
Amazon Warriors Foil,9.06,Alpha,Foil,Ordinary,https://www.tcgplayer.com/product/521546/sorcery-contested-realm-alpha-amazon-warriors-foil
Amethyst Core,76.27,Alpha,Standard,Unique,https://www.tcgplayer.com/product/521565/sorcery-contested-realm-alpha-amethyst-core
Ancient Dragon,2.02,Alpha,Standard,Elite,https://www.tcgplayer.com/product/521578/sorcery-contested-realm-alpha-ancient-dragon
Ancient Dragon Foil,37.99,Alpha,Foil,Elite,https://www.tcgplayer.com/product/521579/sorcery-contested-realm-alpha-ancient-dragon-foil
